line,type,a,b,c
126,CNE,0.0,-0.14709646952669586,-1253.175
127,CNE,0.0,-0.07151848572197743,1253.175
127,CNE,0.0,-0.07151848572197743,-1253.175
128,CNE,0.0,0.0,344.092
128,CNE,0.0,0.0,-344.092
129,CNE,0.0,0.02601495498943118,344.092
129,CNE,0.0,0.02601495498943118,-344.092
130,CNE,0.0,-0.011585227581216306,1253.175
130,CNE,0.0,-0.011585227581216306,-1253.175
131,CNE,0.0,0.023621907731542012,1253.175
131,CNE,0.0,0.023621907731542012,-1253.175
132,CNE,0.0,-0.021868062710471918,1253.175
132,CNE,0.0,-0.021868062710471918,-1253.175
133,CNE,-0.1115479389475899,0.0,344.092
133,CNE,-0.1115479389475899,0.0,5.311065797857225
134,CNE,0.0,0.0,1253.175
134,CNE,0.0,0.0,-1253.175
135,CNE,-0.04210936321259333,0.0,344.092
135,CNE,-0.04210936321259333,0.0,-344.092
136,CNE,0.0,-0.1381185329596655,1253.175
136,CNE,0.0,-0.1381185329596655,-1253.175
137,CNE,0.0,0.023093391335713698,1253.175
137,CNE,0.0,0.023093391335713698,-1253.175
138,CNE,0.0,-0.012402566088429691,344.092
138,CNE,0.0,-0.012402566088429691,-271.3392068971737
139,CNE,0.0,-0.008239536693033721,344.092
139,CNE,0.0,-0.008239536693033721,-335.8027442152909
140,CNE,2.157027202647879e-15,0.0,1253.175
140,CNE,2.157027202647879e-15,0.0,-1253.175
141,CNE,0.03927319835550299,0.0,294.73471868174795
141,CNE,0.03927319835550299,0.0,-344.092
142,CNE,-0.3585589337648856,0.0,344.092
142,CNE,-0.3585589337648856,0.0,-210.53217239188655
143,CNE,-1.188339619234087e-15,0.0,344.092
143,CNE,-1.188339619234087e-15,0.0,-344.092
144,CNE,9.722887671850582e-16,0.0,344.092
144,CNE,9.722887671850582e-16,0.0,-344.092
145,CNE,-7.730199570946488e-18,0.0,344.092
145,CNE,-7.730199570946488e-18,0.0,-344.092
146,CNE,0.003444115069717235,0.0,344.092
146,CNE,0.003444115069717235,0.0,-344.092
147,CNE,0.0004103647181753396,0.0,344.092
147,CNE,0.0004103647181753396,0.0,-344.092
148,CNE,0.0,-0.0022612170341742193,344.092
148,CNE,0.0,-0.0022612170341742193,-344.092
149,CNE,0.0,0.0,344.092
149,CNE,0.0,0.0,-344.092
150,CNE,0.0,0.0,344.092
150,CNE,0.0,0.0,-344.092
151,CNE,0.0,0.0,344.092
151,CNE,0.0,0.0,-344.092
152,CNE,0.0,0.0,335.9967955556154
152,CNE,0.0,0.0,-344.092
153,CNE,0.0,0.0,324.7240854336741
153,CNE,0.0,0.0,-344.092
154,CNE,-0.03927319835550351,0.0,344.092
154,CNE,-0.03927319835550351,0.0,-219.829718681747
155,CNE,-0.06196961484129087,0.0,344.092
155,CNE,-0.06196961484129087,0.0,-344.092
156,CNE,-0.15456138938372965,0.0,344.092
156,CNE,-0.15456138938372965,0.0,55.36790800959267
157,CNE,-0.281307725498742,0.0,344.092
157,CNE,-0.281307725498742,0.0,-221.5995185240409
158,CNE,0.025668907056505326,0.0,344.092
158,CNE,0.025668907056505326,0.0,-344.092
159,CNE,0.008513126876706833,0.0,344.092
159,CNE,0.008513126876706833,0.0,-344.092
160,CNE,-0.10519874145004302,0.0,344.092
