cost_generation,cost_redispatch,total_cost
210097.63150079554,-12969.220874576604,197128.41062621895
190798.96619588544,-9311.819494477688,181487.14670140776
171003.22459631794,-7090.527607920342,163912.6969883976
130380.84438695628,-8484.96579378367,121895.8785931726
98157.92569909063,-7383.437182752509,90774.48851633813
88799.4786311482,-7540.57601040867,81258.90262073954
86365.11576313103,-7516.4943316551335,78848.6214314759
91229.4426666416,-7327.479975516391,83901.9626911252
95320.74330802295,-7231.507423519265,88089.2358845037
110563.7699623102,-9808.252870188282,100755.51709212191
158232.3630166322,-12951.837019554487,145280.52599707773
212977.7571767518,-15646.23843856247,197331.51873818933
251244.9886515377,-18548.53529215525,232696.45335938243
249199.25120060227,-9477.775331025563,239721.4758695767
266287.5837509714,-12523.699399668696,253763.88435130272
277454.3655350611,-15382.126571652885,262072.23896340822
281779.8382697989,-16260.894704861968,265518.9435649369
292285.287044573,-18259.32152197805,274025.9655225949
293249.41053650196,-18307.8922788797,274941.51825762226
316426.42125007976,-32771.16734176563,283655.25390831416
335607.15115407587,-44609.828176460665,290997.3229776152
377917.22632308805,-48284.2103284778,329633.01599461026
371610.14091460063,-44562.74137039555,327047.39954420505
312041.3575208644,-32627.6241756882,279413.7333451762
264051.7123353855,-19696.569813799706,244355.1425215858
238038.02215991955,-16751.174131913314,221286.84802800624
210220.24001725623,-13989.154397861059,196231.08561939516
159248.74316342155,-12642.054628547077,146606.68853487447
126808.24163696726,-11853.077972028175,114955.16366493909
108354.22100866133,-10548.120147705444,97806.10086095589
101216.28501923675,-8756.174024059614,92460.11099517714
101663.2151057348,-7867.073613034692,93796.1414927001
109740.42167143132,-9019.040951664672,100721.38071976665
122270.91089637748,-9060.910303784152,113210.00059259332
173359.33830045044,-10732.657229661976,162626.68107078847
232106.6676772313,-14485.21773709108,217621.44994014024
274681.2633416325,-19828.897972399103,254852.3653692334
262955.0553676644,-11628.149121995191,251326.90624566918
273253.1298670467,-14434.91322296926,258818.21664407747
282637.58199669066,-16837.955253681022,265799.62674300966
284390.47381968366,-17169.590916249228,267220.88290343445
289291.5313448364,-18018.90258642744,271272.62875840894
285358.0552796695,-16995.92575804603,268362.1295216235
294770.2042417719,-7979.433791056149,286790.77045071573
317464.0168247985,-2203.89009551409,315260.1267292844
385673.5370973404,145.10183448633643,385818.63893182675
380044.2262257152,1082.8814786592995,381127.1077043745
339479.11833102495,-2960.5897845086574,336518.5285465163
300723.8515836239,2878.89439010968,303602.7459737336
264790.5713097937,7717.335367421546,272507.90667721524
232935.96401511808,8851.448622245725,241787.4126373638
199442.32334362977,-6984.516157499765,192457.80718613
163602.8293660777,-11039.984111511141,152562.84525456655
138586.6993162717,-10038.788777263739,128547.91053900796
129418.67111644929,-9835.339431511138,119583.33168493815
133025.46968810196,-10208.390692718716,122817.07899538324
139543.94086286775,-10589.334881627801,128954.60598123995
150266.14697326798,-11040.912453573137,139225.23451969484
197190.4768791104,-12881.148956401701,184309.3279227087
258233.55157702422,-17722.556904098106,240510.9946729261
295177.20460432,-25526.72934975486,269650.4752545651
288845.57396649226,-17585.993784755523,271259.58018173673
299093.77339003043,-19689.9658384805,279403.8075515499
316195.21825570846,-21272.878440910863,294922.3398147976
320794.49425022607,-21986.92966332063,298807.5645869054
309611.7350681477,-20322.84212639371,289288.892941754
299967.60291345336,-19928.26746556033,280039.335447893
308988.4241211468,-20405.99921033521,288582.4249108116
320718.8814080545,-22791.48129971257,297927.40010834194
383412.0324882888,-21895.57047649437,361516.46201179444
378694.53262512386,-20558.038544219715,358136.4940809042
340705.71398615243,-23352.30332290115,317353.4106632513
290672.0650692594,-18763.607284385987,271908.4577848734
264808.37886332144,-13274.697616119363,251533.68124720207
226344.87450984726,-10160.790588159352,216184.0839216879
190375.72006484013,-9670.607408941974,180705.11265589815
161801.1853337438,-11861.165653468943,149940.01968027485
147997.51056969503,-14396.750414660793,133600.76015503425
137845.23887635628,-15438.135131572712,122407.10374478357
143600.50437342,-15462.082069584198,128138.4223038358
140756.49079413334,-13504.127569190065,127252.36322494327
123882.20175233789,-9367.879385898408,114514.32236643948
108121.4842167973,-7606.540448166598,100514.94376863069
114642.29175501276,-8042.563635482726,106599.72811953003
150093.3224526352,-7622.347733840659,142470.97471879455
174436.87396302124,-7519.110307821469,166917.76365519976
181211.05757777084,-7765.064274396218,173445.99330337462
182124.3072828172,-7977.721201022534,174146.58608179467
179500.41617850028,-7958.112271400167,171542.3039071001
184434.24069984604,-7766.690522152797,176667.55017769325
180153.25159266786,-7721.54937183463,172431.70222083322
186652.5876883428,-7609.284795532567,179043.30289281026
187039.83555552756,-7720.1511135637875,179319.68444196376
209717.75483886182,-7290.878557988333,202426.8762808735
204289.28943896006,-7661.427070154448,196627.8623688056
190416.50507368427,-8122.879377306227,182293.62569637803
164258.43714631448,-8506.246529436301,155752.1906168782
145258.79373391456,-8788.615532336571,136470.17820157798
135009.1605803022,-8937.006834562106,126072.1537457401
105316.81892223524,-8515.309803355793,96801.50911887945
76597.1462334729,-7878.337880399926,68718.80835307298
60677.61556906388,-5247.578665896955,55430.036903166925
53550.7180491711,-4718.984445293419,48831.73360387768
46900.15615333057,-5013.2490244215105,41886.907128909064
51449.22861624913,-4713.326406061551,46735.902210187574
48715.29716263017,-4814.095586043557,43901.201576586616
39473.466484327124,-5163.474492887835,34309.99199143929
42828.860499251314,-4981.797419414211,37847.063079837106
64450.30741976162,-5427.169922804884,59023.13749695674
98602.28963711634,-7181.610687883138,91420.6789492332
135363.6808452154,-8049.621679587112,127314.05916562828
170620.2901610086,-7359.306732031058,163260.98342897755
188919.38537930368,-7036.645002425926,181882.74037687774
176862.74990504916,-7258.6274770432665,169604.12242800588
171898.67707389477,-7158.752524069964,164739.9245498248
168790.6172011828,-7147.750811266235,161642.86638991654
176059.84171703208,-7176.145174110597,168883.69654292148
220608.1772432123,-7310.12433383336,213298.05290937892
225827.19013529943,-8632.992199127682,217194.19793617175
221535.26743663545,-7820.439354877999,213714.82808175744
197505.48426088298,-7450.098404395567,190055.3858564874
192063.53263630642,-7471.469670590103,184592.06296571632
193212.46662858565,-7257.2185524532215,185955.24807613244
162176.6236909775,-7672.922127318684,154503.7015636588
125473.08318890515,-8395.20692261364,117077.87626629151
96713.60214575745,-7590.664573621025,89122.93757213643
85957.86628368688,-8025.702310430669,77932.1639732562
82629.86211795578,-8263.155170613089,74366.7069473427
80869.28608176869,-8428.568086771433,72440.71799499725
101978.65439266333,-8241.9966536253,93736.65773903803
193484.44001436644,-8630.181858304648,184854.25815606178
257741.2544583158,-12467.557916963062,245273.69654135272
282587.25707380474,-16372.276834219461,266214.9802395853
276712.1446774468,-15605.687384869558,261106.45729257725
