Hour,Capacity Calculation [MWh],Capacity Allocation [MWh],Total volume risk [MWh],λ OBZ [€/MWh],λ zone 1 [€/MWh],λ zone 2 [€/MWh],λ zone 3 [€/MWh],Curtailment OWF 119 (z1) [MWh],Curtailment OWF 124 (z2) [MWh],Curtailment OWF 120 (z3) [MWh]
x75,0.0,2118.3459361761243,2118.3459361761243,-1e-08,47.42,8.85,-1e-08,476.7179052803464,812.1880308957781,829.44
x76,0.0,2076.63921835531,2076.63921835531,-1e-08,48.19,8.85,-1e-08,447.1611874595319,806.113030895778,823.365
x77,0.0,2065.017954555672,2065.017954555672,-1e-08,48.19,8.85,-1e-08,445.4399236598938,801.1630308957782,818.4150000000001
x78,0.0,1924.0419346162143,1924.0419346162143,-1e-08,48.19,8.85,-1e-08,380.0539047204363,763.3680303957782,780.6199995000001
x79,0.0,1752.6415173940718,1752.6415173940718,-1e-08,48.53,8.85,-1e-08,299.3734874982938,718.0080303957781,735.2599994999999
x80,0.0,1639.540268827496,1639.540268827496,-1e-08,65.64,8.85,-1e-08,244.19223693171784,689.0480313957781,706.3000005
x81,0.0,1345.128031895778,1345.128031895778,-1e-08,66.57,8.85,-1e-08,0.0,663.938031395778,681.1900005
x82,0.0,647.0749995,647.0749995,-1e-08,66.57,0.2535268911258472,-1e-08,0.0,0.0,647.0749995
x83,0.0,585.54,585.54,-1e-08,66.57,-1e-08,-1e-08,0.0,0.0,585.54
x84,0.0,524.415,524.415,-1e-08,66.57,-1e-08,-1e-08,0.0,0.0,524.415
x85,0.0,188.7739645027576,188.7739645027576,-1e-08,66.57,-1e-08,-1e-08,188.7739645027576,0.0,0.0
x86,0.0,463.2799995,463.2799995,-1e-08,76.86,-1e-08,-1e-08,0.0,0.0,463.2799995
x87,0.0,453.2650005,453.2650005,-0.0,76.86,0.2927155919249316,-1e-08,0.0,0.0,453.2650005
x89,0.0,211.6077086098385,211.6077086098385,-0.0,76.86,37.06,-1e-08,0.0,0.0,211.6077086098385
x90,0.0,81.99065686611982,81.99065686611982,-0.0,76.86,37.06,-0.0,81.99065686611982,0.0,0.0
x91,0.0,115.30725166201682,115.30725166201682,-0.0,76.86,37.06,-0.0,115.30725166201682,0.0,0.0
x92,0.0,225.76507093048716,225.76507093048716,-0.0,76.86,37.06,-0.0,225.76507093048716,0.0,0.0
x93,0.0,402.751469562426,402.751469562426,-0.0,66.57,8.85,-0.0,0.0,402.751469562426,0.0
x94,0.0,541.6250769661667,541.6250769661667,-0.0,66.57,8.85,-0.0,0.0,541.6250769661667,0.0
x95,0.0,566.6259726756092,566.6259726756092,-0.0,65.64,8.85,-0.0,0.0,566.6259726756092,0.0
x96,0.0,547.1721189116872,547.1721189116872,-1e-08,48.19,8.85,-1e-08,0.0,547.1721189116872,0.0
x97,0.0,564.4283295127734,564.4283295127734,-1e-08,48.19,8.85,-1e-08,0.0,564.4283295127734,0.0
x98,0.0,583.468030895778,583.468030895778,-1e-08,48.19,8.85,-1e-08,0.0,583.468030895778,0.0
x99,0.0,1243.6680318957779,1243.6680318957779,-1e-08,48.19,8.85,-1e-08,0.0,613.208031395778,630.4600005
x100,0.0,1265.728030895778,1265.728030895778,-1e-08,48.19,8.85,-1e-08,0.0,624.238030895778,641.49
x101,0.0,1262.088031895778,1262.088031895778,-1e-08,48.19,8.85,-1e-08,0.0,622.418031395778,639.6700005
x102,0.0,1244.2580298957778,1244.2580298957778,-1e-08,48.19,8.85,-1e-08,0.0,613.503030395778,630.7549994999999
x103,0.0,594.6230313957782,594.6230313957782,-1e-08,48.53,8.85,-1e-08,0.0,594.6230313957782,0.0
x104,0.0,567.0077640944928,567.0077640944928,-0.0,66.57,8.85,-0.0,0.0,567.0077640944928,0.0
x105,0.0,498.8291618572079,498.8291618572079,-0.0,66.57,8.85,-0.0,0.0,498.8291618572079,0.0
x107,0.0,253.7090131347037,253.7090131347037,-0.0,66.57,-0.0,-0.0,253.7090131347037,0.0,0.0
x108,0.0,228.41220331630257,228.41220331630257,-0.0,76.86,-1e-08,-0.0,228.41220331630257,0.0,0.0
x109,0.0,539.9011625880972,539.9011625880972,-0.0,76.86,-1e-08,-0.0,187.51076208809724,352.3904005,0.0
x137,0.0,819.6280308957781,819.6280308957781,-0.0,76.86,8.85,-0.0,0.0,819.6280308957781,0.0
x138,0.0,835.6980303957781,835.6980303957781,-0.0,78.52,8.85,-0.0,0.0,835.6980303957781,0.0
x139,0.0,826.068030395778,826.068030395778,-0.0,78.52,8.85,-0.0,0.0,826.068030395778,0.0
x140,0.0,819.4880313957782,819.4880313957782,-0.0,78.52,8.85,-0.0,0.0,819.4880313957782,0.0
x141,0.0,818.4430308957782,818.4430308957782,-0.0,76.86,8.85,-0.0,0.0,818.4430308957782,0.0
x142,0.0,842.5480308957782,842.5480308957782,-0.0,76.86,8.85,-0.0,0.0,842.5480308957782,0.0
x143,0.0,827.973030395778,827.973030395778,-0.0,66.57,8.85,-0.0,0.0,827.973030395778,0.0
x144,0.0,766.823031395778,766.823031395778,-0.0,65.64,8.85,-0.0,0.0,766.823031395778,0.0
x145,0.0,672.908031395778,672.908031395778,-0.0,48.53,8.85,-0.0,0.0,672.908031395778,0.0
x147,0.0,371.4904624558801,371.4904624558801,-1e-08,48.19,8.85,-0.0,371.4904624558801,0.0,0.0
x148,0.0,146.48015891398632,146.48015891398632,-1e-08,48.19,8.85,-0.0,146.48015891398632,0.0,0.0
x149,0.0,122.25750591963516,122.25750591963516,-1e-08,48.19,8.85,-0.0,122.25750591963516,0.0,0.0
x150,0.0,277.19012983178027,277.19012983178027,-1e-08,48.19,8.85,-0.0,277.19012983178027,0.0,0.0
x151,0.0,578.0357640146125,578.0357640146125,-0.0,48.19,8.85,-0.0,0.0,578.0357640146125,0.0
x153,0.0,59.78430479632726,59.78430479632726,-0.0,48.19,8.85,-0.0,59.78430479632726,0.0,0.0
x154,0.0,1250.5245839191398,1250.5245839191398,-1e-08,48.53,-1e-08,-1e-08,847.6795839191401,0.0,402.8449999999998
x155,0.0,14.52697715518926,14.52697715518926,-1e-08,65.64,-1e-08,-1e-08,14.52697715518926,0.0,0.0
x156,0.0,218.07819908918736,218.07819908918736,-1e-08,65.64,-1e-08,-0.0,218.07819908918736,0.0,0.0
x157,0.0,1596.4499990000004,1596.4499990000004,-1e-08,65.64,-1e-08,-0.0,1056.6649995,0.0,539.7849995000004
x158,0.0,1583.6599999999999,1583.6599999999999,-1e-08,65.64,-0.0,-0.0,1050.27,0.0,533.3899999999999
x159,0.0,1125.743240474797,1125.743240474797,-1e-08,65.64,-1e-08,-0.0,590.7932404747972,0.0,534.9499999999996
x160,28.072681998513872,744.5987398313664,772.6714218298803,-0.0,65.64,8.85,-0.0,706.638390434102,66.03303139577827,0.0
