Hour,Category,Curtailed MWh
450,Price Convergence Middle,0.0
451,Price Convergence Middle,0.0
452,Price Convergence Middle,0.0
453,Zero-Price,0.0
454,Zero-Price,0.0
455,Price Convergence Low,0.0
456,Price Convergence Low,0.0
457,Price Convergence Low,0.0
458,Price Convergence Low,0.0
459,Price Convergence Low,0.0
460,Zero-Price,0.0
461,Zero-Price,0.0
462,Zero-Price,0.0
463,Zero-Price,0.0
464,Price Convergence High,0.0
465,Price Convergence Middle,0.0
466,Zero-Price,0.0
467,Price Convergence Low,0.0
468,Zero-Price,0.0
469,Price Convergence Middle,0.0
470,Zero-Price,0.0
471,Zero-Price,0.0
472,Zero-Price,0.0
473,Price Convergence Low,0.0
474,Price Convergence Low,0.0
475,Price Convergence Low,0.0
476,Zero-Price,0.0
477,Zero-Price,0.0
478,Zero-Price,0.0
479,Zero-Price,0.0
480,Price Convergence Low,0.0
481,Zero-Price,0.0
482,Price Convergence Low,0.0
483,Zero-Price,0.0
484,Zero-Price,0.0
485,Zero-Price,0.0
486,Zero-Price,0.0
487,Price Convergence Low,0.0
488,Zero-Price,0.0
489,Zero-Price,0.0
490,Zero-Price,0.0
491,Zero-Price,0.0
492,Price Convergence Middle,0.0
493,Price Convergence Middle,0.0
494,Price Convergence Middle,0.0
495,Price Convergence Low,0.0
496,Zero-Price,0.0
497,Price Convergence Low,0.0
498,Price Convergence Low,0.0
499,Zero-Price,0.0
500,Zero-Price,0.0
501,Price Convergence Low,0.0
502,Zero-Price,0.0
503,Zero-Price,0.0
504,Zero-Price,0.0
505,Price Convergence Low,0.0
506,Price Convergence Low,0.0
507,Zero-Price,0.0
508,Zero-Price,0.0
509,Zero-Price,0.0
510,Price Convergence Low,0.0
511,Price Convergence Low,0.0
512,Zero-Price,0.0
513,Price Convergence Low,0.0
514,Price Convergence Low,0.0
515,Zero-Price,0.0
516,Price Convergence Low,0.0
517,Zero-Price,0.0
518,Zero-Price,0.0
519,Zero-Price,0.0
520,Zero-Price,0.0
521,Zero-Price,0.0
522,Price Convergence Low,0.0
523,Zero-Price,0.0
524,Zero-Price,0.0
525,Price Convergence Low,0.0
526,Price Convergence Low,0.0
527,Zero-Price,0.0
528,Zero-Price,0.0
529,Price Convergence Low,0.0
530,Price Convergence Low,0.0
531,Zero-Price,0.0
532,Price Convergence Low,0.0
533,Zero-Price,0.0
534,Price Convergence Low,0.0
535,Price Convergence Low,0.0
536,Price Convergence Middle,0.0
537,Zero-Price,0.0
538,Price Convergence Low,0.0
539,Zero-Price,0.0
540,Price Convergence Low,0.0
541,Price Convergence Low,0.0
542,Price Convergence Low,0.0
543,Price Convergence Low,0.0
544,Price Convergence Low,0.0
545,Price Convergence Low,0.0
546,Price Convergence Low,0.0
547,Price Convergence Low,0.0
548,Price Convergence Low,0.0
549,Other Price Formation,0.0
550,Zero-Price RES,222.2727459945253
551,Zero-Price RES,904.5806223843304
552,Zero-Price RES,923.7321994322332
553,Zero-Price RES,880.0310662087754
554,Zero-Price RES,1143.1965371155457
555,Zero-Price RES,1311.83499070777
556,Zero-Price RES,1272.0658296188112
557,Zero-Price RES,730.1539229366679
558,Zero-Price RES,608.8537854194192
559,Zero-Price RES,202.2341312246288
560,Zero-Price RES,471.16553218704377
561,Zero-Price RES,581.6237388680102
562,Zero-Price RES,767.145166952609
563,Zero-Price RES,684.1735407176657
564,Zero-Price RES,971.7146884093981
565,Zero-Price RES,916.4809813615848
566,Zero-Price RES,753.7084558390732
567,Zero-Price,720.9042875863189
568,Zero-Price RES,287.0253518583263
569,Zero-Price RES,143.43291159018088
570,Zero-Price RES,0.0
571,Price Convergence Low,0.0
572,Price Convergence Low,0.0
573,Price Convergence Low,0.0
574,Price Convergence Low,0.0
575,Zero-Price RES,0.0
576,Zero-Price RES,765.8580303957782
577,Zero-Price RES,727.1980308957781
578,Zero-Price RES,680.7230313957781
579,Zero-Price RES,629.6130303957781
580,Zero-Price RES,484.00300428821777
581,Zero-Price RES,329.3837249588803
582,Zero-Price,0.0
583,Zero-Price,0.0
584,Price Convergence Low,0.0
585,Price Convergence Low,0.0
586,Zero-Price,0.0
587,Price Convergence Low,0.0
588,Zero-Price,0.0
589,Zero-Price,0.0
590,Price Convergence Low,0.0
591,Price Convergence Low,0.0
592,Zero-Price,0.0
593,Price Convergence Low,0.0
594,Price Convergence Low,0.0
595,Price Convergence Low,0.0
596,Price Convergence Low,0.0
597,Price Convergence Low,0.0
598,Price Convergence Low,0.0
599,Price Convergence Low,0.0
600,Price Convergence Low,0.0
601,Price Convergence Low,0.0
602,Price Convergence Low,0.0
603,Zero-Price RES,0.0
604,Zero-Price RES,0.0
605,Zero-Price RES,0.0
606,Zero-Price RES,764.9030313957782
607,Zero-Price RES,0.0
608,Zero-Price RES,0.0
609,Zero-Price RES,856.148031395778
610,Zero-Price RES,858.6080313957781
611,Zero-Price RES,854.2280313957782
612,Zero-Price RES,928.713030395778
613,Zero-Price RES,969.388030895778
614,Zero-Price RES,849.8534444757333
615,Zero-Price RES,532.2419316494585
616,Zero-Price RES,501.8216356573315
617,Zero-Price RES,893.3398616379653
618,Zero-Price RES,933.4836796028522
619,Zero-Price RES,901.8043156192022
620,Zero-Price RES,486.8946310108464
621,Zero-Price RES,942.700710315311
622,Zero-Price RES,460.0483090126562
623,Zero-Price RES,821.8806243843303
624,Zero-Price RES,822.8742052220981
625,Zero-Price RES,1845.3897291748885
626,Zero-Price RES,1718.1237460344655
627,Zero-Price RES,1558.139008294164
628,Zero-Price RES,1323.158821032685
629,Zero-Price RES,2107.1909053438458
630,Zero-Price RES,1966.4732903135887
631,Zero-Price RES,1939.8724927681892
632,Zero-Price RES,809.8730313957782
633,Zero-Price RES,779.3680308957781
634,Zero-Price RES,728.468031395778
635,Zero-Price RES,0.0
636,Zero-Price RES,481.5595658485788
637,Zero-Price RES,386.9214449964527
638,Zero-Price RES,265.1805482870109
639,Zero-Price RES,143.78102575611524
640,Zero-Price,0.0
641,Zero-Price,0.0
642,Price Convergence Low,0.0
643,Price Convergence Low,0.0
644,Price Convergence Low,0.0
645,Zero-Price,0.0
646,Price Convergence Low,0.0
647,Price Convergence Low,0.0
648,Price Convergence Low,0.0
649,Zero-Price RES,824.083030895778
650,Zero-Price RES,322.9634310738407
651,Zero-Price RES,612.5351498637864
652,Zero-Price RES,868.272598373919
653,Zero-Price RES,726.7059389005093
654,Zero-Price RES,1060.1016270643604
655,Zero-Price RES,1395.2906700897606
656,Zero-Price RES,2326.62
657,Zero-Price RES,2649.773029395778
658,Zero-Price RES,2723.723032395778
659,Zero-Price RES,2670.984384259682
660,Zero-Price RES,3175.4071958566115
661,Zero-Price RES,2833.808030895778
662,Zero-Price RES,2538.339999
663,Zero-Price RES,2509.209999
664,Zero-Price RES,2505.009999
665,Zero-Price RES,2517.410001
666,Zero-Price RES,2525.2100010000004
667,Zero-Price RES,2517.410001
668,Zero-Price RES,2510.109999
669,Zero-Price RES,2502.410001
670,Zero-Price RES,2494.910001
671,Zero-Price RES,2493.309999
672,Zero-Price RES,2498.91
673,Zero-Price RES,2500.910001
674,Zero-Price RES,2632.584385759682
675,Zero-Price RES,2489.7099989999997
676,Zero-Price RES,2607.834385759682
677,Zero-Price RES,2592.534385759682
678,Zero-Price RES,3146.19958591839
679,Zero-Price RES,3120.99411895881
680,Zero-Price RES,3017.9099754747085
681,Zero-Price RES,2369.25
682,Zero-Price RES,3540.4799985
683,Zero-Price RES,2348.559999
684,Zero-Price RES,2974.0400000000004
685,Zero-Price RES,2356.7193872596818
686,Zero-Price RES,2285.150001
687,Zero-Price RES,2747.2700014999996
688,Zero-Price RES,1960.6150247072555
689,Zero-Price RES,1589.0857014227893
690,Zero-Price RES,0.0
691,Zero-Price RES,519.0723406455162
692,Zero-Price RES,447.12960279744095
693,Zero-Price RES,429.43035670364
694,Zero-Price RES,439.5733937141943
695,Zero-Price RES,439.2584196666252
696,Zero-Price RES,0.0
697,Zero-Price RES,0.0
698,Zero-Price RES,379.9111976328708
699,Zero-Price RES,0.0
700,Zero-Price,0.0
701,Price Convergence Low,0.0
702,Price Convergence Middle,0.0
703,Price Convergence Low,0.0
704,Price Convergence High,0.0
705,Zero-Price,0.0
706,Zero-Price,0.0
707,Zero-Price,0.0
708,Zero-Price,0.0
709,Price Convergence Low,0.0
710,Price Convergence Low,0.0
711,Price Convergence Low,0.0
712,Price Convergence Low,0.0
713,Price Convergence Low,0.0
714,Price Convergence Low,0.0
715,Price Convergence Low,0.0
716,Price Convergence Low,0.0
717,Price Convergence Low,0.0
718,Price Convergence Low,0.0
719,Price Convergence Low,0.0
720,Price Convergence Low,0.0
721,Zero-Price,0.0
722,Zero-Price,0.0
723,Zero-Price,0.0
724,Zero-Price,0.0
725,Price Convergence Low,0.0
726,Price Convergence Low,0.0
727,Price Convergence Low,0.0
728,Zero-Price,0.0
729,Price Convergence Low,0.0
730,Zero-Price,0.0
731,Price Convergence Low,0.0
732,Price Convergence Low,0.0
733,Zero-Price,0.0
734,Price Convergence Low,0.0
735,Zero-Price,0.0
736,Price Convergence Low,0.0
737,Price Convergence Low,0.0
738,Price Convergence Low,0.0
739,Zero-Price,0.0
740,Price Convergence Low,0.0
741,Zero-Price,0.0
742,Price Convergence Low,0.0
743,Price Convergence Low,0.0
744,Price Convergence Low,0.0
745,Zero-Price RES,2643.5643857596815
746,Zero-Price RES,2638.989384259682
747,Zero-Price RES,2642.244387259682
748,Zero-Price RES,2638.4643872596816
749,Zero-Price RES,3720.808030895778
750,Zero-Price RES,2472.5199989999996
751,Zero-Price RES,2552.649387259682
752,Zero-Price RES,2640.923032395778
753,Zero-Price RES,2630.978032395778
754,Zero-Price RES,2428.35
755,Zero-Price RES,2455.77
756,Zero-Price RES,3693.2700015
757,Zero-Price RES,3675.6300014999997
758,Zero-Price RES,3635.3399985
759,Zero-Price RES,3566.2649985
760,Zero-Price RES,3500.5499999999997
761,Zero-Price RES,2340.5125424593202
762,Zero-Price RES,2308.250001
763,Zero-Price RES,2313.830001
764,Zero-Price RES,2313.069999
765,Zero-Price RES,2334.110001
766,Zero-Price RES,2351.019999
767,Zero-Price RES,2346.590001
768,Zero-Price RES,2347.149999
769,Zero-Price RES,3456.703030895778
770,Zero-Price RES,2537.3255672592627
771,Zero-Price RES,2203.2230308957783
772,Zero-Price RES,2147.408032395778
773,Zero-Price RES,2255.903032395778
774,Zero-Price RES,2387.7680308957783
775,Zero-Price RES,2317.02
776,Zero-Price RES,3472.3350000000005
777,Zero-Price RES,2809.88
778,Zero-Price RES,2579.1799985
779,Zero-Price RES,2806.425
780,Zero-Price RES,2558.7
781,Zero-Price RES,2360.295
782,Zero-Price RES,2199.15
783,Zero-Price RES,2080.7400015
784,Zero-Price RES,1449.621682163062
785,Zero-Price RES,621.0949995
786,Zero-Price RES,1274.175751981251
787,Zero-Price RES,1127.618029895778
788,Zero-Price RES,1073.838031895778
789,Zero-Price RES,0.0
790,Zero-Price RES,196.2337016695751
791,Zero-Price RES,99.74444878287318
792,Zero-Price RES,37.02279338923552
793,Other Price Formation,0.0
794,Zero-Price RES,0.0
795,Zero-Price RES,0.0
796,Zero-Price RES,0.0
797,Zero-Price RES,0.0
798,Price Convergence Middle,0.0
799,Zero-Price,0.0
800,Zero-Price,0.0
801,Zero-Price,0.0
802,Zero-Price,0.0
803,Price Convergence Low,0.0
804,Zero-Price,0.0
805,Zero-Price,0.0
806,Zero-Price,0.0
807,Price Convergence Low,0.0
808,Zero-Price,0.0
809,Price Convergence Low,0.0
810,Zero-Price,0.0
811,Zero-Price,0.0
812,Price Convergence Low,0.0
813,Zero-Price,0.0
814,Price Convergence Low,0.0
815,Zero-Price,0.0
816,Price Convergence Low,0.0
817,Zero-Price,0.0
818,Price Convergence Low,0.0
819,Price Convergence Low,0.0
820,Zero-Price,0.0
821,Price Convergence Low,0.0
822,Price Convergence Low,0.0
823,Zero-Price,0.0
824,Price Convergence Low,0.0
825,Zero-Price,0.0
826,Zero-Price,0.0
827,Zero-Price,0.0
828,Price Convergence Low,0.0
829,Price Convergence Low,0.0
830,Price Convergence Low,0.0
831,Price Convergence Low,0.0
832,Zero-Price RES,168.58373991916952
833,Price Convergence Low,0.0
834,Price Convergence Low,0.0
835,Zero-Price,0.0
836,Zero-Price,0.0
837,Price Convergence Low,0.0
838,Zero-Price,0.0
839,Price Convergence Low,0.0
840,Price Convergence Low,0.0
841,Price Convergence Low,0.0
842,Zero-Price,0.0
843,Zero-Price,0.0
844,Price Convergence Low,0.0
845,Zero-Price,0.0
846,Price Convergence Low,0.0
847,Price Convergence Low,0.0
848,Price Convergence Middle,0.0
849,Price Convergence Middle,0.0
850,Price Convergence Middle,0.0
851,Zero-Price RES,0.0
852,Price Convergence Middle,0.0
853,Zero-Price,0.0
854,Price Convergence Middle,0.0
855,Zero-Price,0.0
856,Zero-Price,0.0
857,Price Convergence Low,0.0
858,Price Convergence Low,0.0
859,Price Convergence Low,0.0
860,Price Convergence Low,0.0
861,Price Convergence Low,0.0
862,Zero-Price,0.0
863,Zero-Price,0.0
864,Zero-Price,0.0
865,Zero-Price,0.0
866,Zero-Price,0.0
867,Zero-Price,0.0
868,Price Convergence Low,0.0
869,Zero-Price,0.0
870,Price Convergence Low,0.0
871,Zero-Price,0.0
872,Zero-Price,0.0
873,Price Convergence Low,0.0
874,Price Convergence Low,0.0
875,Price Convergence Low,0.0
876,Price Convergence Low,0.0
877,Zero-Price,0.0
878,Price Convergence Low,0.0
879,Price Convergence Low,0.0
880,Zero-Price,0.0
881,Zero-Price,0.0
882,Price Convergence Low,0.0
883,Zero-Price,0.0
884,Price Convergence Low,0.0
885,Price Convergence Low,0.0
886,Price Convergence Low,0.0
887,Zero-Price,0.0
888,Zero-Price,0.0
889,Price Convergence Low,0.0
890,Zero-Price,0.0
891,Zero-Price,0.0
892,Zero-Price,0.0
893,Zero-Price,0.0
